DISBURSEMENT : ALLOCATION Vs ACTUALS AND NO. OF BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,
 ,,,(RS. IN LAKH),,,,,,,,,,,,,,,,,,
Sno.,State,2022-2023 (as on 31.03.2023),,,2023-2024 (as on 31.03.2024),,,2024-2025 (as on 31.03.2025),,,2025-2026 (as on 31.03.2026),,,2026-2027(as on 31.07.2026),,,,,,,
,,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,,,,,
,Total :,69999.99999999999,60086.880000000005,108339,69999.99999999999,67121.26999999999,81431,74999.99999999997,68150.39,83970,60000,54823.12,94002,85000,57200.810000000005,76219,,,,,
,,,,,,,,,,,,,,,,,,,,,
DISBURSEMENT : NOTIONAL ALLOCATION Vs ACTUALS DURING 12th FIVE YEAR PLAN ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,(Rs. in Lakh),,,,,,,,,,,,,,,
Srno.,State, 2012-2013,,2013-2014,,2014-2015,,2015-2016,,2016-2017,,Total,,,,,,,,,
,,(as on 31.03.2013),,(as on 31.03.2014),,(as on 31.03.2015),,(as on 31.03.2016),,(as on 31.03.2017),,(2012-13 to 2016-17),,,,,,,,,
,,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,Andhra Pradesh,1459.1,0,1775.9,449.33,111.32,0,1314.4,2504.36,1848.51,7012.3,4660.72,2953.69,,,,,,,,
2,Arunachal Pradesh,1,0,1.2,0,0,0,0,0,0,0,2.2,0,,,,,,,,
3,Assam,292.63,0,356.19,45,397.65,198,463.92,42.19,652.43,114.41,1510.3899999999999,285.19,,,,,,,,
4,Bihar,1542.56,0,1877.47,1980,2209.41,4080,2578.47,2881.36,3626.22,2455.99,8207.91,8941.36,,,,,,,,
5,Chandigarh,19.37,20.31,23.55,34.32,26.47,22.02,30.99,30,43.58,53.02,100.38,106.64999999999999,,,,,,,,
6,Chhattisgarh,285.21,692.84,347.09,40.24,436.59,575.79,509.6,656.54,716.67,1802.58,1578.4899999999998,1965.4099999999999,,,,,,,,
7,"Dadra N.Haweli,D&Diu",1.92,0,2.31,0,2.38,0,1.91,0,2.7,0,8.52,0,,,,,,,,
8,Delhi,277.47,493.3,337.64,450,375.99,0,437.7,180.86,615.56,127.82,1428.8,1124.1599999999999,,,,,,,,
9,Goa,1.93,49.47,2.37,4.39,2.64,7.47,3.97,6.09,5.57,6.75,10.91,67.42,,,,,,,,
10,Gujarat,424.9,4384.17,517.15,3135.15,542.43,2107.62,634.13,2259.47,891.8,4467.19,2118.61,11886.409999999998,,,,,,,,
11,Haryana,482.81,306.75,588.01,433.12,682.67,95.8,795.87,1223.96,1119.26,249.68,2549.3599999999997,2059.63,,,,,,,,
12,Himachal Pradesh,178.51,224.54,217.21,143.94,230.2,172.76,269.13,128.02,378.5,138.97,895.0500000000001,669.26,,,,,,,,
13,Jammu & Kashmir,91.2,2.64,110.96,870.51,124.37,35.79,143.97,782.44,202.47,6.2,470.5,1691.38,,,,,,,,
14,Jharkhand,376.33,0,458.09,450,531.84,0,620.3,953.34,872.37,6.23,1986.56,1403.3400000000001,,,,,,,,
15,Karnataka,1012.8,4899.3,1232.78,3410.3,1397.09,7185.71,1630.28,3153.4,2292.74,5807.18,5272.95,18648.710000000003,,,,,,,,
16,Kerala,368.61,791.08,448.67,657.43,404.83,1120.7,473.07,4366.04,665.3,1788.49,1695.1799999999998,6935.25,,,,,,,,
17,Madhya Pradesh,1082.68,0,1317.81,239.4,1516.16,0,1765.27,39.21,2482.59,92.15,5681.92,278.61,,,,,,,,
18,Maharashtra,1167.99,2779.88,1421.7,2981.55,1770.17,4563.82,2066.2,992.86,2905.8,65.07,6426.06,11318.11,,,,,,,,
19,Manipur,7.12,98.55,8.68,200,17.28,39.6,20.18,100,28.37,100,53.26,438.15000000000003,,,,,,,,
20,Meghalaya,1.78,0,2.17,0,3.07,0,3.57,0,5.03,0,10.59,0,,,,,,,,
21,Mizoram,0.03,0,0.06,0,0.22,0,0.26,0,0.36,0,0.5700000000000001,0,,,,,,,,
